lemma,count
cousin,134052
breathing,133845
pig,133806
blind,133804
tommy,133545
sold,133545
pregnant,133507
madam,133439
result,133138
wild,133073
earlier,133053
signal,132937
da,132689
hoping,132525
pack,132478
according,132464
term,132324
hill,132183
flying,132121
breathe,132104
whoever,132102
acting,131949
jane,131848
you're,131814
steve,131719
robert,131223
consider,131182
deserve,130726
breath,130717
bottom,130437
showed,130303
event,130297
fan,130256
sight,130236
arrived,130171
however,130069
willing,129960
beyond,129881
jake,129764
travel,129695
color,129587
super,129422
princess,129348
ridiculous,129315
tie,128768
faster,128767
awful,128394
seemed,127879
nature,127836
trial,127795
er,127636
page,127591
vote,127487
chair,127470
laughter,127318
excellent,127230
itself,126714
roger,126620
asleep,126612
program,126549
pulled,126544
plenty,126483
due,126422
lab,126282
written,126209
shame,126155
fbi,126137
aye,125954
ms.,125868
common,125759
gotten,125739
justice,125340
rat,125048
don,124890
main,124640
silly,124632
fella,124535
responsible,124437
simply,124428
cook,124220
sheriff,124194
apologize,124147
co,123861
dr,123727
knowing,123666
strength,123652
ought,123483
prisoner,123452
hm,123401
hearing,123348
walked,123313
nurse,123279
bobby,123221
cake,123218
beg,123173
character,123091
correct,122894
murdered,122858
plus,122622
base,122593
necessary,122514
eddie,122420
beauty,121921
restaurant,121777
size,121605
large,121118
indistinct,121115
chris,121095
investigation,121085
powerful,120466
project,120337
charles,120326
taught,120309
possibly,120167
pound,120132
breaking,120093
pardon,119890
held,119640
united,119397
center,119237
player,118915
clearly,118667
daniel,118620
lied,118606
alarm,118414
purpose,118403
wound,118184
somehow,118177
outta,118137
loud,118115
pocket,118104
hanging,117972
excited,117964
national,117833
post,117807
spoke,117670
bringing,117560
credit,117486
view,117433
agreed,117315
famous,117258
beep,117121
mail,117103
checked,116977
y,116879
b,116876
survive,116214
creature,115900
market,115690
sweetie,115686
minister,115611
release,115556
practice,115534
career,115407
pal,115352
advice,115340
freedom,115300
hardly,115242
greatest,115045
bite,114977
meat,114870
dropped,114752
fill,114697
lesson,114585
horn,114550
panting,114299
