lemma,count
obviously,174323
besides,174297
spot,173930
jail,173345
cute,173197
stuck,172955
member,172497
flower,172495
taste,172437
form,172210
duty,172167
cheer,172120
mate,172067
max,171929
bus,171578
bullshit,171525
guest,171443
accept,171349
driving,171313
suspect,171252
german,171040
price,170608
stone,170091
jimmy,170049
continue,169869
congratulation,169866
upset,169768
magic,169713
especially,169517
self,169475
shop,169408
interest,169188
battle,169138
mountain,168803
photo,168726
owe,168697
singing,168571
nick,167851
wine,167798
address,167639
bullet,167573
smoke,166980
wrote,166922
beginning,166751
often,166656
putting,166427
support,165831
bone,165614
sleeping,165547
dick,165152
crowd,164911
throat,164766
eating,164698
experience,164649
conversation,164637
flight,164070
angel,163739
search,163514
moon,163377
race,163100
listening,163037
grand,163006
named,162957
escape,162791
trick,162066
promised,161804
department,161765
crap,161718
smile,161581
ringing,161283
chicken,161241
ho,161115
ear,161105
summer,161100
press,160979
bother,160893
destroy,160510
dirty,160174
final,160144
folk,159913
account,159047
sky,158338
target,158235
monster,158083
staying,157896
steal,157826
west,157722
choose,157337
unit,157309
sergeant,157091
grow,156947
issue,156729
became,156466
figured,156441
ghost,156361
bottle,156066
picked,155952
gas,155744
village,155626
blame,155484
everywhere,154938
wood,154867
reading,154726
fee,154615
mum,154546
usually,154214
tape,153767
gate,153763
leader,152899
rose,152573
buck,152524
bunch,152415
immediately,152327
locked,152215
shouting,152188
video,152139
innocent,152040
favorite,151801
passed,151724
huge,151655
operation,151330
learned,151201
knife,151138
suck,150863
study,150793
notice,149827
egg,149651
prince,149436
nose,149346
russian,149255
commander,149242
majesty,149113
mommy,148965
twice,148563
hat,148471
rid,148265
danger,147857
build,147723
van,147001
fired,146911
band,146811
crew,146789
london,146745
criminal,146580
condition,146290
keeping,146207
closed,146137
bigger,146064
paris,146033
neck,145972
director,145857
upstairs,145664
lay,145614
drinking,145237
camp,145217
treat,145152
nervous,145131
kitchen,145090
helping,144954
shirt,144933
empty,144914
command,144767
decide,144710
sarah,144428
stole,143829
driver,143813
corner,143805
bridge,143639
rain,143608
waste,143553
hiding,143500
allow,143348
grace,143300
doc,143217
billy,143208
sweetheart,143183
aunt,142734
mention,141879
allowed,141852
weekend,141844
writing,141473
shooting,141468
surprised,141461
tear,141412
devil,141400
built,141312
pressure,141263
apart,141221
lee,141208
detail,141204
raise,141203
complete,141137
extra,141033
gay,140787
admit,140503
language,140416
guilty,140348
suddenly,139990
nut,139894
bathroom,139876
awesome,139415
energy,139344
ex,139289
adam,138780
block,138670
losing,138525
speed,138503
leaf,138208
following,137871
strike,137863
played,137686
fresh,137612
johnny,137414
military,137386
fellow,137049
stage,136929
motherfucker,136921
cup,136763
pant,136655
fucked,136589
helped,136493
hall,136444
medical,136423
cheering,136113
sword,135892
local,135864
warm,135708
east,135702
emergency,135679
tight,135619
closer,135435
wondering,135361
indeed,135344
heavy,135251
breakfast,135048
opportunity,134919
beach,134894
faith,134829
skin,134574
apparently,134194
otherwise,134102
cousin,134052
breathing,133845
pig,133806
blind,133804
sold,133545
pregnant,133507
madam,133439
result,133138
wild,133073
earlier,133053
signal,132937
da,132689
hoping,132525
pack,132478
according,132464
term,132324
hill,132183
flying,132121
breathe,132104
acting,131949
robert,131223
consider,131182
deserve,130726
breath,130717
bottom,130437
showed,130303
event,130297
fan,130256
sight,130236
arrived,130171
however,130069
willing,129960
beyond,129881
travel,129695
color,129587
super,129422
princess,129348
ridiculous,129315
tie,128768
faster,128767
awful,128394
seemed,127879
nature,127836
trial,127795
er,127636
page,127591
vote,127487
chair,127470
laughter,127318
excellent,127230
asleep,126612
program,126549
pulled,126544
plenty,126483
due,126422
lab,126282
written,126209
shame,126155
fbi,126137
ms.,125868
common,125759
gotten,125739
justice,125340
rat,125048
main,124640
silly,124632
fella,124535
responsible,124437
simply,124428
cook,124220
sheriff,124194
apologize,124147
knowing,123666
