lemma,count
walking,186388
truck,186304
hundred,186039
e,185825
whether,185609
angry,185583
computer,185184
difficult,184968
dress,184966
evil,184802
t,184787
neither,184551
moved,184377
grab,184187
apartment,183683
bob,183008
upon,182970
mission,182842
prove,182796
teach,182631
tea,181886
laugh,181813
cash,181452
sake,181431
boyfriend,181294
impossible,180243
bloody,180055
planet,179659
lawyer,179650
judge,179605
quit,179370
ray,179141
push,179052
carry,178874
henry,178815
partner,177965
involved,177880
lived,177719
doubt,177368
fat,177222
visit,177117
college,177010
cute,176447
large,176165
foot,175965
glass,175883
cat,175746
likes,175453
art,175327
joke,175253
board,175158
liked,174884
rules,174873
store,174344
obviously,174323
besides,174297
wind,174259
loves,174214
jump,173476
double,173312
holding,173208
d,173067
stuck,172955
cross,172888
gift,172673
island,172645
ow,172369
difference,172281
max,171929
knock,171805
bullshit,171525
jail,171395
accept,171349
cry,171329
driving,171313
bear,171093
relationship,170894
thousand,170623
professor,170383
tree,170354
jimmy,170049
whose,169900
continue,169869
magic,169713
especially,169517
dare,169434
reach,169259
owe,168697
singing,168571
congratulations,168463
orders,168213
groans,167372
wrote,166922
decision,166819
often,166656
arrest,166478
putting,166427
self,166006
nick,165972
upset,165839
sleeping,165547
weapon,165329
jim,165109
eating,164698
asshole,164218
risk,164118
wine,164103
beer,164009
guard,163970
guns,163716
favor,163604
lock,163597
enemy,163367
tony,163253
listening,163037
grand,163006
named,162957
arms,162504
bus,162326
kick,162312
beginning,161924
promised,161804
ringing,161283
victim,161125
teacher,160981
destroy,160510
dirty,160174
gives,159974
dreams,159750
river,159701
de,159228
arm,159211
search,158800
support,158689
suit,158587
bell,158433
mrs,158397
danny,158344
crap,158141
staying,157896
ho,157857
west,157722
bomb,157615
hole,157589
patient,157435
choose,157337
alex,157187
level,157107
department,156995
yep,156966
grow,156947
press,156934
shoes,156559
became,156466
figured,156441
address,156341
turns,156209
moon,156090
code,156040
picked,155952
burn,155599
s,155572
throat,155267
escape,155249
crowd,155227
sergeant,155222
smoke,155010
everywhere,154938
books,154923
shop,154691
engine,154395
usually,154214
type,153610
heaven,153120
roll,153086
mum,152914
mate,152678
begin,152564
dick,152480
hero,152433
bunch,152415
immediately,152327
locked,152215
shouting,152188
battle,151989
flight,151906
price,151808
passed,151724
huge,151655
gas,151430
dollars,151428
names,151418
track,151225
learned,151201
rings,151180
drugs,151151
spot,150788
summer,150684
action,150530
match,150184
fit,149590
copy,149541
weapons,149069
warm,149019
blame,148959
ourselves,148655
twice,148563
san,148393
experience,148287
rid,148265
innocent,147859
brothers,147812
final,147658
duty,147656
majesty,147619
further,147402
loud,147359
mommy,147162
steal,146942
fired,146911
london,146745
race,146397
i.,146342
keeping,146207
closed,146137
paris,146033
pop,146009
memory,145693
upstairs,145664
lots,145644
tight,145615
heavy,145446
drinking,145237
nervous,145131
smile,144999
helping,144954
themselves,144954
decide,144710
sarah,144428
ways,144211
bother,144136
leg,143988
commander,143895
stole,143829
pictures,143719
wild,143711
hiding,143500
allow,143348
village,143237
empty,143234
billy,143208
feelings,143201
van,143051
notice,142786
favorite,142749
kitchen,142095
prince,141901
allowed,141852
legs,141638
waste,141535
surprised,141461
reading,141435
built,141312
apart,141221
bird,141212
lee,141208
complete,141137
doc,141063
admit,140503
guilty,140348
keys,140252
suddenly,139990
build,139901
herself,139729
grace,139686
whoo,139421
awesome,139415
sweetheart,139376
fresh,139231
starts,139197
above,138953
nose,138880
danger,138786
chicken,138726
losing,138525
drug,138206
lay,138196
form,138133
aunt,138132
neck,137901
following,137871
played,137686
writing,137632
shooting,137593
mention,137582
sky,137470
johnny,137414
pressure,137395
military,137386
witness,137343
taste,137202
video,136796
screams,136761
ex,136626
fucked,136589
helped,136493
medical,136423
extra,136130
cheering,136113
spirit,136081
east,135702
richard,135687
energy,135675
wondering,135361
indeed,135344
plans,135253
crew,135114
breakfast,135048
faith,134829
gay,134779
places,134758
suspect,134585
apparently,134194
target,134181
bathroom,134117
otherwise,134102
dogs,133967
folks,133917
breathing,133845
raise,133672
sold,133545
tommy,133545
pregnant,133507
madam,133439
director,133235
band,133213
speed,133073
pants,133046
interest,132846
hoping,132525
according,132464
keeps,132270
flying,132121
breathe,132104
whoever,132102
command,132015
cost,131976
acting,131949
lights,131885
jane,131848
you're,131814
steve,131719
m,131693
camp,131651
stone,131512
consider,131182
bridge,131152
knife,131037
ma,130926
deserve,130726
file,130396
emergency,130343
showed,130303
arrived,130171
however,130069
willing,129960
beyond,129881
jake,129764
treat,129585
super,129422
ridiculous,129315
states,128999
rain,128986
devil,128936
rule,128627
skin,128564
awful,128394
hat,128175
seemed,127879
blind,127873
nature,127836
animal,127823
er,127636
conversation,127529
laughter,127318
stage,127274
excellent,127230
language,127030
tape,126809
beach,126732
itself,126714
corner,126665
roger,126620
asleep,126612
pulled,126544
plenty,126483
da,126395
written,126209
shame,126155
driver,126147
fbi,126137
weekend,126069
aye,125954
ms.,125868
cheers,125866
hall,125757
gotten,125739
common,125688
justice,125340
german,125136
princess,125124
client,125104
don,124890
rose,124836
silly,124632
responsible,124437
simply,124428
apologize,124147
bottle,124015
dr,123727
knowing,123666
ought,123483
hm,123401
local,123330
walked,123313
bobby,123221
beg,123173
heads,123122
main,123045
correct,122894
murdered,122858
tells,122674
plus,122622
necessary,122514
bottom,122442
eddie,122420
dumb,122331
angel,122198
leader,121987
study,121973
sheriff,121812
due,121619
cup,121344
soldier,121323
indistinct,121115
chris,121095
account,121087
lies,120896
powerful,120466
charles,120326
note,120321
taught,120309
possibly,120167
breath,120161
cars,120100
breaking,120093
pack,119981
shirt,119731
opportunity,119713
held,119640
united,119397
operation,119328
animals,119269
strength,119203
hearing,118812
monster,118794
papers,118701
soldiers,118678
clearly,118667
lied,118606
leaves,118371
somehow,118177
outta,118137
hanging,117972
excited,117964
stories,117932
pardon,117833
spoke,117670
bringing,117560
sight,117504
numbers,117479
balls,117366
agreed,117315
famous,117258
checked,116977
y,116879
weak,116502
beauty,116451
adam,116351
stars,116283
survive,116214
trick,116068
fellow,116049
cousin,115873
feed,115807
sweetie,115686
robert,115385
advice,115340
hardly,115242
sword,115076
size,114855
dropped,114752
dry,114619
panting,114299
cook,114146
chinese,114063
b,113957
ghost,113914
base,113909
access,113572
strike,113495
flowers,113415
trial,113395
training,113241
plays,113171
