lemma,count
bother,224560
cat,223357
gift,223187
involve,221909
belong,221664
slow,221513
major,221239
base,221232
board,221028
queen,221018
eh,220919
fill,220124
lovely,220025
crime,219813
prison,219436
concern,219154
suit,218868
government,218570
remain,217078
travel,217067
forward,216960
mama,216882
smile,216614
personal,216422
normal,215382
risk,215127
witness,214871
cook,214008
truck,213905
owe,213725
detective,213027
gold,211702
doubt,211700
pop,211256
deserve,210926
bastard,210481
match,210455
accident,210366
store,209941
screw,209737
o,209475
tear,209340
fuckin,209315
lunch,209302
killer,209283
mary,209119
appreciate,208867
yo,208841
certain,208255
experience,208248
area,207946
soul,207915
shoe,207164
tie,206488
proud,205728
hole,204658
spot,204212
warn,204070
pack,202929
suspect,202844
quit,202833
ben,202828
idiot,202612
fail,202492
fit,202433
english,202397
form,202187
excite,202162
fell,201863
lt,200469
paul,200369
third,199876
dare,199830
holy,199788
plane,199658
america,199612
girlfriend,199556
quickly,199400
church,198792
lieutenant,198500
green,198080
suck,197237
bell,197145
ray,196663
window,196661
private,196437
harry,196006
type,195647
race,195503
tough,195444
level,195198
paint,195175
within,194922
invite,194775
press,194624
taste,194614
public,194028
note,193673
shh,193267
aah,193263
yell,193150
strike,193138
action,192957
finger,192946
beg,192885
scene,192848
pleasure,192751
support,192381
french,192214
problems,192041
rich,192038
afternoon,191411
sea,191404
north,191312
ruin,191305
double,190733
hungry,190241
don't,190050
south,189938
colonel,189373
blame,189240
cash,188086
marriage,187953
honest,187660
camera,187487
survive,187431
copy,186846
release,186201
hundred,186039
e,185825
suffer,185764
whether,185609
nine,185466
computer,185184
difficult,184968
evil,184802
t,184787
fat,184785
bob,184658
crowd,184600
neither,184551
ticket,184238
favor,184027
spirit,183987
apartment,183683
angry,183670
sad,183431
upon,182970
mission,182842
stone,182816
address,182716
disappear,182568
appear,182110
low,181941
tea,181886
rain,181803
trick,181693
foot,181629
sake,181431
suggest,181317
boyfriend,181294
target,180738
cost,180519
impossible,180243
upset,180226
bloody,180055
planet,179659
lawyer,179650
admit,179511
henry,178815
block,178703
issue,177772
receive,177753
account,177621
college,177010
enter,176416
piss,176387
jail,176173
battle,176137
bullshit,175450
art,175327
dig,174605
nick,174519
obviously,174323
besides,174297
price,173917
complete,173917
cute,173197
hunt,173076
island,172645
flower,172495
ow,172369
difference,172281
max,171929
chatter,171645
bus,171578
bone,170907
relationship,170894
thousand,170623
professor,170383
jimmy,170049
whose,169900
magic,169713
especially,169517
pretend,169211
congratulations,168463
remind,167136
freak,167107
decision,166819
often,166656
exist,166339
self,166006
camp,165619
weapon,165329
crap,165248
jim,165109
asshole,164218
wine,164103
command,164070
flight,164070
beer,164009
correct,163798
d,163796
moon,163377
enemy,163367
tony,163253
grand,163006
settle,162862
wash,162777
manage,162402
vote,161798
shake,161749
crash,161345
bottle,161191
victim,161125
summer,161100
teacher,160981
worst,160893
dirty,160174
hire,160075
warm,159959
chase,159845
river,159701
freeze,159582
condition,159466
de,159228
mrs,158397
danny,158344
sky,158338
gas,158335
trap,158016
ho,157857
west,157722
patient,157435
alex,157187
department,156995
yep,156966
ghost,156361
code,156040
s,155572
assume,155382
detail,155284
throat,155267
sergeant,155222
bore,155179
nose,154972
everywhere,154938
fee,154615
engine,154395
bless,154372
usually,154214
buck,154167
pray,154058
gate,153763
rat,153700
heaven,153120
empty,152959
mum,152914
program,152738
mate,152678
dick,152480
hero,152433
bunch,152415
bury,152414
immediately,152327
discuss,152061
speed,151972
huge,151655
dollars,151428
corner,150480
load,150310
post,149874
egg,149651
weapons,149069
color,148793
